“   S
人   B
们   E
常   S
说   S
生   B
活   E
是   S
一   S
部   S
教   B
科   I
书   E
，   S
而   S
血   S
与   S
火   S
的   S
战   B
争   E
更   S
是   S
不   B
可   I
多   I
得   E
的   S
教   B
科   I
书   E
，   S
她   S
确   B
实   E
是   S
名   B
副   I
其   I
实   E
的   S
‘   S
我   S
的   S
大   B
学   E
’   S
。   S

“   S
人   B
们   E
常   S
说   S
生   B
活   E
是   S
一   S
部   S
教   B
科   I
书   E
，   S
而   S
血   S
与   S
火   S
的   S
战   B
争   E
更   S
是   S
不   B
可   I
多   I
得   E
的   S
教   B
科   I
书   E
，   S
她   S
确   B
实   E
是   S
名   B
副   I
其   I
实   E
的   S
‘   S
我   S
的   S
大   B
学   E
’   S
。   S

“   S
人   B
们   E
常   S
说   S
生   B
活   E
是   S
一   S
部   S
教   B
科   I
书   E
，   S
而   S
血   S
与   S
火   S
的   S
战   B
争   E
更   S
是   S
不   B
可   I
多   I
得   E
的   S
教   B
科   I
书   E
，   S
她   S
确   B
实   E
是   S
名   B
副   I
其   I
实   E
的   S
‘   S
我   S
的   S
大   B
学   E
’   S
。   S

“   S
人   B
们   E
常   S
说   S
生   B
活   E
是   S
一   S
部   S
教   B
科   I
书   E
，   S
而   S
血   S
与   S
火   S
的   S
战   B
争   E
更   S
是   S
不   B
可   I
多   I
得   E
的   S
教   B
科   I
书   E
，   S
她   S
确   B
实   E
是   S
名   B
副   I
其   I
实   E
的   S
‘   S
我   S
的   S
大   B
学   E
’   S
。   S

“   S
人   B
们   E
常   S
说   S
生   B
活   E
是   S
一   S
部   S
教   B
科   I
书   E
，   S
而   S
血   S
与   S
火   S
的   S
战   B
争   E
更   S
是   S
不   B
可   I
多   I
得   E
的   S
教   B
科   I
书   E
，   S
她   S
确   B
实   E
是   S
名   B
副   I
其   I
实   E
的   S
‘   S
我   S
的   S
大   B
学   E
’   S
。   S

“   S
人   B
们   E
常   S
说   S
生   B
活   E
是   S
一   S
部   S
教   B
科   I
书   E
，   S
而   S
血   S
与   S
火   S
的   S
战   B
争   E
更   S
是   S
不   B
可   I
多   I
得   E
的   S
教   B
科   I
书   E
，   S
她   S
确   B
实   E
是   S
名   B
副   I
其   I
实   E
的   S
‘   S
我   S
的   S
大   B
学   E
’   S
。   S

“   S
人   B
们   E
常   S
说   S
生   B
活   E
是   S
一   S
部   S
教   B
科   I
书   E
，   S
而   S
血   S
与   S
火   S
的   S
战   B
争   E
更   S
是   S
不   B
可   I
多   I
得   E
的   S
教   B
科   I
书   E
，   S
她   S
确   B
实   E
是   S
名   B
副   I
其   I
实   E
的   S
‘   S
我   S
的   S
大   B
学   E
’   S
。   S

“   S
人   B
们   E
常   S
说   S
生   B
活   E
是   S
一   S
部   S
教   B
科   I
书   E
，   S
而   S
血   S
与   S
火   S
的   S
战   B
争   E
更   S
是   S
不   B
可   I
多   I
得   E
的   S
教   B
科   I
书   E
，   S
她   S
确   B
实   E
是   S
名   B
副   I
其   I
实   E
的   S
‘   S
我   S
的   S
大   B
学   E
’   S
。   S
